osmid,y,x,street_count,highway,ref,railway,geometry
9750157241,40.9884936,28.9227635,3,,,,POINT (28.9227635 40.9884936)
9750157244,40.9984879,28.932738,3,,,,POINT (28.932738 40.9984879)
9750157264,40.9983263,28.9326174,3,,,,POINT (28.9326174 40.9983263)
9750157271,40.997364,28.9325433,3,,,,POINT (28.9325433 40.997364)
9750157272,40.9974036,28.9323966,3,,,,POINT (28.9323966 40.9974036)
9750157273,40.9980348,28.9326309,3,,,,POINT (28.9326309 40.9980348)
9750157274,40.9980327,28.9328217,3,,,,POINT (28.9328217 40.9980327)
9759266643,41.0141172,28.93671,3,,,,POINT (28.93671 41.0141172)
9759266646,41.0145428,28.9370141,3,,,,POINT (28.9370141 41.0145428)
9759266650,41.0149914,28.9366902,3,,,,POINT (28.9366902 41.0149914)
9759266651,41.0152182,28.9360951,3,,,,POINT (28.9360951 41.0152182)
9759266653,41.0154619,28.9362678,1,,,,POINT (28.9362678 41.0154619)
9759266654,41.0152468,28.93688,1,,,,POINT (28.93688 41.0152468)
9759280285,41.0144194,28.9360934,1,,,,POINT (28.9360934 41.0144194)
9759280287,41.014378,28.9360623,4,,,,POINT (28.9360623 41.014378)
9759334941,41.0151982,28.9368439,3,,,,POINT (28.9368439 41.0151982)
9759334942,41.0152275,28.9367819,1,,,,POINT (28.9367819 41.0152275)
9759363117,41.0148182,28.9359739,3,,,,POINT (28.9359739 41.0148182)
9759363119,41.0148776,28.9360782,3,,,,POINT (28.9360782 41.0148776)
9759363125,41.014638,28.9360972,1,,,,POINT (28.9360972 41.014638)
9759374947,41.0147472,28.9355623,1,,,,POINT (28.9355623 41.0147472)
9759399364,41.014594,28.936573,3,,,,POINT (28.936573 41.014594)
9759399366,41.0146784,28.9366264,3,,,,POINT (28.9366264 41.0146784)
9759399369,41.0145092,28.9364505,3,,,,POINT (28.9364505 41.0145092)
9759399370,41.0144992,28.9364431,1,,,,POINT (28.9364431 41.0144992)
9759399377,41.0145815,28.9363336,1,,,,POINT (28.9363336 41.0145815)
9759435823,41.0146703,28.935511,1,,,,POINT (28.935511 41.0146703)
9759474665,41.0141549,28.9366162,3,,,,POINT (28.9366162 41.0141549)
9760073416,41.0135143,28.9529087,3,,,,POINT (28.9529087 41.0135143)
9760089518,41.0135217,28.9529454,4,crossing,,,POINT (28.9529454 41.0135217)
9760089519,41.013536,28.9530353,3,crossing,,,POINT (28.9530353 41.013536)
9760089520,41.0138907,28.952898,1,,,,POINT (28.952898 41.0138907)
