poi_id,name,lat,lon,poi_group,poi_category,amenity,tourism,historic,leisure,geometry,nearest_edge_u,nearest_edge_v,nearest_edge_key,distance_to_edge_m
11970900769,The First Ottoman Lounge,41.004468,28.964438,food,amenity:restaurant,restaurant,,,,POINT (28.964438 41.004468),3081281719,506381561,0,6.001056036299488
5480475146,The Han,41.01016,28.978858,food,amenity:restaurant,restaurant,,,,POINT (28.978858 41.01016),13433927174,13433942467,0,5.990199075737005
1000023064,The Port Shield Pub & Restaurant,41.011978,28.978224,food,amenity:restaurant,restaurant,,,,POINT (28.978224 41.011978),11165697759,11165697758,0,5.2599502778965705
5108843091,The Terrace Restaurant,41.008144,28.976446,food,amenity:restaurant,restaurant,,,,POINT (28.976446 41.008144),275612347,11010266598,0,2.9439595738244124
5113500243,The wox,41.005058,28.973682,food,amenity:restaurant,restaurant,,,,POINT (28.973682 41.005058),3075182593,3075182578,0,5.247089504976382
7896553285,Three partners cafe & restaurant,41.003514,28.973502,food,amenity:restaurant,restaurant,,,,POINT (28.973502 41.003514),2379723984,1185323656,0,4.788482356794584
12347693538,Ti Amo Bistro Cafe & Restarant,41.013261,28.977117,food,amenity:restaurant,restaurant,,,,POINT (28.977117 41.013261),278366484,13433994435,0,3.706781752636845
5106121848,Tostçu İbrahim,41.017846,28.954284,food,amenity:restaurant,restaurant,,,,POINT (28.954284 41.017846),1061624522,1061624542,0,7.946913000027794
5108828624,Trabzon Lokantası,41.013959,28.977709,food,amenity:restaurant,restaurant,,,,POINT (28.977709 41.013959),2370332234,278366512,0,7.558046761204631
5087168314,Trakya Köfte Salonu,40.995109,28.925633,food,amenity:restaurant,restaurant,,,,POINT (28.925633 40.995109),1034388279,1034388278,0,8.903480370362738
5113620639,Tria Elegance Restaurant,41.00597,28.980947,food,amenity:restaurant,restaurant,,,,POINT (28.980947 41.00597),278004973,1248902329,0,11.530873280182387
5112966978,Tuana restaurant,41.003409,28.953112,food,amenity:restaurant,restaurant,,,,POINT (28.953112 41.003409),1058894325,1058894316,0,1.670142569245729
5112725544,Tubaz Odunlu Taş fırını,41.000651,28.926399,food,amenity:restaurant,restaurant,,,,POINT (28.926399 41.000651),1035581963,1035581965,0,5.724473715371483
5088192752,Tunyalı Ocakbaşı ve Kababı,41.002036,28.936331,food,amenity:restaurant,restaurant,,,,POINT (28.936331 41.002036),1036041686,1035582633,0,2.2261051073440363
