u,v,key,osmid,bridge,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,tunnel,width,service,area,ref
1064574655,1064574652,0,91629593,,residential,,,Yeni Usul Sokağı,False,True,46.29834411754804,"LINESTRING (28.9414203 41.033008, 28.9409823 41.0330584, 28.9408752 41.0330733)",,,,,,
1064574661,1064574664,0,91629595,,residential,,,Kani Efendi Sokağı,False,False,46.36078671200361,"LINESTRING (28.9406535 41.0335503, 28.9410402 41.0332524)",,,,,,
1064574661,12356540412,0,329838063,,tertiary,,,Hoca Çakir Caddesi,False,False,1.3941880092266075,"LINESTRING (28.9406535 41.0335503, 28.9406398 41.0335432)",,,,,,
1064574661,1066631778,0,329838063,,tertiary,,,Hoca Çakir Caddesi,False,True,11.386862589907778,"LINESTRING (28.9406535 41.0335503, 28.9407599 41.0336139)",,,,,,
1064574664,1064574666,0,91629595,,residential,,,Kani Efendi Sokağı,False,False,39.07714899611523,"LINESTRING (28.9410402 41.0332524, 28.9414962 41.0331804)",,,,,,
1064574664,1064574661,0,91629595,,residential,,,Kani Efendi Sokağı,False,True,46.36078671200361,"LINESTRING (28.9410402 41.0332524, 28.9406535 41.0335503)",,,,,,
1064574664,1064574652,0,329836654,,residential,,,Ulubatlı Hasan Sokağı,False,False,24.251797669660885,"LINESTRING (28.9410402 41.0332524, 28.9408752 41.0330733)",,,,,,
1064574664,1064574680,0,329836654,,residential,,,Ulubatlı Hasan Sokağı,False,True,41.89354836913737,"LINESTRING (28.9410402 41.0332524, 28.9413325 41.0335579)",,,,,,
1064574666,1064574664,0,91629595,,residential,,,Kani Efendi Sokağı,False,True,39.07714899611523,"LINESTRING (28.9414962 41.0331804, 28.9410402 41.0332524)",,,,,,
1064574666,1064574655,0,91629604,,residential,,,Karagözcü Sokağı,False,False,20.19951189518885,"LINESTRING (28.9414962 41.0331804, 28.9414203 41.033008)",,,,,,
1064574666,1064574683,0,91629604,,residential,,,Karagözcü Sokağı,False,True,27.334817519244346,"LINESTRING (28.9414962 41.0331804, 28.9416147 41.0334094)",,,,,,
1064574666,1064574672,0,91629595,,residential,,,Kani Efendi Sokağı,False,False,66.87939819092678,"LINESTRING (28.9414962 41.0331804, 28.9416971 41.0331839, 28.9417702 41.0331756, 28.9418152 41.0332163, 28.9421331 41.0334589)",,,,,,
1064574672,1064574732,0,91629601,,residential,,,Yanbolu Sokağı,False,False,13.999687776610122,"LINESTRING (28.9421331 41.0334589, 28.9422773 41.0333955)",,,,,,
1064574672,1064574758,0,91629601,,residential,,,Yanbolu Sokağı,False,True,35.61987484574287,"LINESTRING (28.9421331 41.0334589, 28.9417735 41.0336293)",,,,,,
1064574672,1064574666,0,91629595,,residential,,,Kani Efendi Sokağı,False,True,66.87939819092678,"LINESTRING (28.9421331 41.0334589, 28.9418152 41.0332163, 28.9417702 41.0331756, 28.9416971 41.0331839, 28.9414962 41.0331804)",,,,,,
1064574677,1064574680,0,91629596,,residential,,,Limoncu Hüseyin Sokağı,False,False,33.54337541816139,"LINESTRING (28.9410158 41.0337421, 28.9413325 41.0335579)",,,,,,
1064574677,1066631778,0,941369213,,tertiary,,,Hoca Çakir Caddesi,False,False,25.76665952354035,"LINESTRING (28.9410158 41.0337421, 28.9407599 41.0336139)",,,,,,
1064574677,1064574754,0,941369213,,tertiary,,,Hoca Çakir Caddesi,False,True,27.327342140261138,"LINESTRING (28.9410158 41.0337421, 28.941276 41.03389)",,,,,,
1064574680,1064574683,0,91629596,,residential,,,Limoncu Hüseyin Sokağı,False,False,28.860690378797543,"LINESTRING (28.9413325 41.0335579, 28.9416147 41.0334094)",,,,,,
1064574680,1064574677,0,91629596,,residential,,,Limoncu Hüseyin Sokağı,False,True,33.54337541816139,"LINESTRING (28.9413325 41.0335579, 28.9410158 41.0337421)",,,,,,
1064574680,1064574664,0,329836654,,residential,,,Ulubatlı Hasan Sokağı,False,False,41.89354836913737,"LINESTRING (28.9413325 41.0335579, 28.9410402 41.0332524)",,,,,,
1064574680,1064574756,0,329836654,,residential,,,Ulubatlı Hasan Sokağı,False,True,26.934414121955516,"LINESTRING (28.9413325 41.0335579, 28.9415305 41.0337486)",,,,,,
1064574683,1064574680,0,91629596,,residential,,,Limoncu Hüseyin Sokağı,False,True,28.860690378797543,"LINESTRING (28.9416147 41.0334094, 28.9413325 41.0335579)",,,,,,
1064574683,1064574666,0,91629604,,residential,,,Karagözcü Sokağı,False,False,27.334817519244346,"LINESTRING (28.9416147 41.0334094, 28.9414962 41.0331804)",,,,,,
1064574683,1064574758,0,91629604,,residential,,,Karagözcü Sokağı,False,True,27.844304555653896,"LINESTRING (28.9416147 41.0334094, 28.9417735 41.0336293)",,,,,,
1064574689,1102850426,0,329837142,,tertiary,,,Paşa Hamamı Caddesi,False,False,38.31682885559855,"LINESTRING (28.9417867 41.0325662, 28.9415636 41.0322655)",,,,,,
1064574689,1064574697,0,"[329837896, 91629597]",,"['residential', 'steps']",,,Merdivenli Kahve Sokağı,False,False,50.331625801742724,"LINESTRING (28.9417867 41.0325662, 28.9416015 41.0326496, 28.9414933 41.0327752, 28.9413434 41.032858)",,,,,,
1064574689,1064574732,0,329837142,,tertiary,,,Paşa Hamamı Caddesi,False,True,101.49017395337505,"LINESTRING (28.9417867 41.0325662, 28.9420367 41.0328804, 28.9421132 41.0330277, 28.9422773 41.0333955)",,,,,,
1064574697,1064574776,0,91629604,,residential,,,Karagözcü Sokağı,False,False,9.087794927469078,"LINESTRING (28.9413434 41.032858, 28.9412939 41.0327853)",,,,,,
1064574697,1064574655,0,91629604,,residential,,,Karagözcü Sokağı,False,True,17.883041236677123,"LINESTRING (28.9413434 41.032858, 28.9414203 41.033008)",,,,,,
1064574697,1064574689,0,"[329837896, 91629597]",,"['residential', 'steps']",,,Merdivenli Kahve Sokağı,False,True,50.331625801742724,"LINESTRING (28.9413434 41.032858, 28.9414933 41.0327752, 28.9416015 41.0326496, 28.9417867 41.0325662)",,,,,,
1064574698,1102850666,0,91629599,,tertiary,,,Draman Cesmesi Sokağı,False,False,51.605175568936964,"LINESTRING (28.9441935 41.0290206, 28.9443717 41.0294648)",,,,,,
1064574698,1064222428,0,228403739,,tertiary,,,Fethiye Caddesi,False,False,24.68048590934889,"LINESTRING (28.9441935 41.0290206, 28.9439299 41.0291192)",,,,,,
1064574698,1064222666,0,228403739,,tertiary,,,Fethiye Caddesi,False,True,17.960985543269008,"LINESTRING (28.9441935 41.0290206, 28.9443841 41.028947)",,,,,,
1064574702,1102850457,0,136456156,,tertiary,,,,False,False,37.756629053816816,"LINESTRING (28.9444115 41.0307842, 28.9447398 41.0310165)",,,,,,
1064574702,1064574449,0,136456156,,tertiary,,,,False,True,10.865171475649127,"LINESTRING (28.9444115 41.0307842, 28.9443155 41.0307186)",,,,,,
1064574702,1102850664,0,95039323,,residential,,,Zülüflü Sokağı,False,True,57.49309143947936,"LINESTRING (28.9444115 41.0307842, 28.9447443 41.0305581, 28.9449241 41.030441)",,,,,,
1064574704,1064574706,0,136456156,,tertiary,,,,False,False,21.73998763176121,"LINESTRING (28.9448327 41.0310372, 28.944948 41.0312123)",,,,,,
1064574704,1102850457,0,136456156,,tertiary,,,,False,True,8.125330747781222,"LINESTRING (28.9448327 41.0310372, 28.9447398 41.0310165)",,,,,,
1064574704,1102850432,0,95039278,,residential,,,Tatlı Memba Sokağı,False,True,59.746681805902014,"LINESTRING (28.9448327 41.0310372, 28.9450662 41.0308444, 28.9453522 41.030672)",,,,,,
1064574706,1102850454,0,95039292,,residential,,,Söğütlü Bakkal Sokağı,False,False,38.49577047509094,"LINESTRING (28.944948 41.0312123, 28.9445371 41.0313665)",,,,,,
1064574706,1102850445,0,136456156,,tertiary,,,,False,False,40.2185776152786,"LINESTRING (28.944948 41.0312123, 28.9451587 41.0315372)",,,,,,
1064574706,1064574704,0,136456156,,tertiary,,,,False,True,21.73998763176121,"LINESTRING (28.944948 41.0312123, 28.9448327 41.0310372)",,,,,,
1064574723,1064575135,0,91629627,,tertiary,,,Hoca Çakir Caddesi,False,True,14.197564184764248,"LINESTRING (28.9414078 41.0344165, 28.9413173 41.0345244)",,,,,,
1064574723,1064574727,0,91629600,,tertiary,,,Mumhane Caddesi,False,False,64.79533016057078,"LINESTRING (28.9414078 41.0344165, 28.9415426 41.0343498, 28.9417401 41.0342522, 28.9419427 41.034014)",,,,,,
1064574723,1103230112,0,329835285,,residential,,,Aşık Yunus Sokağı,False,True,55.23796376201744,"LINESTRING (28.9414078 41.0344165, 28.9415448 41.0346406, 28.9416413 41.0347701, 28.9417594 41.0348186)",,,,,,
1064574723,1066631859,0,941369213,,tertiary,,,Hoca Çakir Caddesi,False,False,57.814595235229795,"LINESTRING (28.9414078 41.0344165, 28.9414743 41.0343459, 28.9415389 41.0342682, 28.9415358 41.0341818, 28.9415053 41.034077, 28.9413847 41.0339604)",,,,,,
1064574727,2376022206,0,91629600,,tertiary,,,Mumhane Caddesi,False,False,21.829166178614056,"LINESTRING (28.9419427 41.034014, 28.9420833 41.0338488)",,,,,,
1064574727,1064574756,0,91629607,,residential,,,Beşir Gazi Sokağı,False,False,45.45627899621567,"LINESTRING (28.9419427 41.034014, 28.9415305 41.0337486)",,,,,,
1064574727,1064574797,0,91629607,,residential,,,Beşir Gazi Sokağı,False,True,44.89475945596366,"LINESTRING (28.9419427 41.034014, 28.9423301 41.0342926)",,,,,,
