osmid,y,x,elevation
316974257,41.0142569,28.9238791,55.41843032836914
316974258,41.0146334,28.9239085,55.71953201293945
316974259,41.015032,28.9240078,56.18735504150391
316974260,41.0154052,28.9240813,56.43342590332031
316974261,41.0158968,28.9241397,56.76642227172852
316974262,41.0163169,28.9242694,57.70705795288086
316974266,41.014164,28.9255295,55.11748504638672
316974267,41.0153849,28.9257774,58.11267852783203
316974269,41.0141837,28.9253072,55.37879180908203
316974272,41.0106147,28.9246048,40.25497055053711
316974277,41.0112126,28.9248381,44.14095687866211
316974279,41.0114653,28.924861,45.47487640380859
316974282,41.0119855,28.924943,49.56432342529297
349271203,41.0036146,28.9749929,18.6501579284668
349271204,41.0038592,28.9757516,22.47957038879395
349271205,41.0040912,28.9764783,27.36967277526855
356404378,41.0056883,28.9789782,29.11949157714844
364451321,41.029712,28.9515556,0.4858978390693665
364451360,41.0301604,28.9509153,2.008461236953735
364451362,41.0300227,28.9511291,1.555460453033447
364451385,41.0286089,28.9525507,5.0472731590271
364453332,41.0136244,28.9838779,33.51986312866211
364455125,41.012525,28.9841021,45.09313583374023
412289916,41.0175029,28.9280008,56.47129440307617
412289918,41.0143288,28.9318996,56.74962997436523
412289921,41.0143663,28.9301334,56.85353469848633
412289922,41.0152515,28.9291518,55.99316024780273
412289926,41.012046,28.9296726,52.94632720947266
412289927,41.0132762,28.9321803,57.65157318115234
412289931,41.015248,28.9330345,52.64937591552734
412289934,41.0153831,28.930643,56.40995788574219
412289936,41.0144624,28.9320607,55.61639404296875
412289938,41.0134224,28.9318694,57.87240982055664
412289962,41.0157652,28.9274431,57.21174621582031
412728607,41.01719,28.935763,29.85552024841309
412728616,41.0130799,28.9380381,44.37221145629883
412728663,41.0163866,28.9352587,38.01010131835938
413329056,41.010018,28.9370156,52.71514511108398
413329060,41.0094636,28.9369837,52.53170013427734
413329063,41.0089827,28.9350776,52.7772102355957
413329082,41.006003,28.9537093,4.911385059356689
413329083,41.0065327,28.9536065,5.732237339019775
413329089,41.0063624,28.9577422,8.474811553955078
413329091,41.0062055,28.9551222,7.588376998901367
413329094,41.0056106,28.9546913,4.814579010009766
413329095,41.0059633,28.9549002,5.639525413513184
413329098,41.0056432,28.9574098,8.24914836883545
413329099,41.006051,28.9589397,7.839174270629883
